Place,2001_Visitors,2002_Visitors,2003_Visitors,2004_Visitors,2005_Visitors,2006_Visitors,2007_Visitors,2008_Visitors,2009_Visitors,2010_Visitors,2011_Visitors,2012_Visitors,2013_Visitors,2014_Visitors,2015_Visitors,2016_Visitors,2017_Visitors,2018_Visitors
Point Pelee National Park,331193,306477,285930,272006,230222,226902,228815,202424,240081,237494,244892,245780,241652,264978,300106,333285,522199,342305
Pukaskwa National Park,8488,9406,8263,7250,8170,6689,7737,6994,6289,7099,16855,11234,10529,10711,7271,9593,14114,9243
Thousand Islands National Park,65603,52508,55717,50453,56230,51734,42440,46348,43920,40801,40859,40211,37572,38967,81418,90961,88520,87136
Riding Mountain National Park,282759,246387,247563,245565,249493,249493,249493,249493,298594,295612,305742,305882,286189,287545,339441,355523,423146,355972
Wapusk National Park,null,null,1073,1135,1211,1134,1869,1184,1377,135,1160,193,252,196,231,106,162,405
Grasslands National Park,6773,7043,4927,6642,6506,6552,5814,5981,9616,9551,5646,6132,5167,7420,11597,13452,18296,15784
Prince Albert National Park,230530,223915,239918,221006,216179,219372,222498,227510,251983,250272,247395,238401,241263,250337,258613,249310,299168,270233
Banff National Park,3106470,3088390,2935140,3139934,3174043,3297460,3348632,3114535,3132086,3151751,3226978,3306203,3268208,3609639,3894332,4059503,4181854,4089309
Elk Island National Park,209895,190272,189418,171447,180946,182736,186855,198231,185323,217789,218763,220758,225939,244801,317789,360678,528647,371757
Jasper National Park,1846506,1838175,1686756,1880153,1906928,1991615,2054877,1867058,1868797,1916677,1958206,1993139,2019100,2167469,2266072,2345130,2425878,2445991
Waterton Lakes National Park,414121,390825,370939,366431,363008,364042,386524,373257,382861,396995,400520,402542,404668,417979,486642,536865,568807,412860
"Gwaii Haanas National Park Reserve, National Marine Conservation Area Reserve, and Haida Heritage Site",1925,1993,2187,2056,1868,1868,2098,1940,1755,1721,1760,1834,1702,1809,2123,2819,3316,2653
Kootenay National Park,417315,417830,390714,420721,425006,445364,454520,421096,426570,429365,427128,434781,428967,464182,499878,521286,531009,515787
Mount Revelstoke & Glacier National Parks,566679,588849,598869,591280,606159,611173,619889,603699,610995,634827,637488,643112,659904,709256,759218,795749,787968,776919
Pacific Rim National Park Reserve,657163,731065,764435,794608,768621,759462,775158,747091,802569,797441,762709,753324,765506,819267,943856,1056801,1131418,1149889
Yoho National Park,568479,563115,501270,576413,581309,609395,606937,543424,527501,547436,550832,560201,553711,609452,648468,688157,712046,694842
Ivvavik National Park,165,150,138,187,249,248,219,126,67,142,78,112,84,111,120,137,119,124
Kluane National Park and Reserve,48385,47512,39075,45491,44277,41582,40510,37144,41874,47323,48226,43744,32607,25123,26981,27606,29743,32066
Aulavik National Park,88,88,88,48,66,16,5,26,18,12,16,8,8,10,0,8,24,18
Nahanni National Park Reserve,936,977,1015,885,1021,796,956,810,810,775,1033,840,760,800,1044,1082,1302,899
Tuktut Nogait National Park,null,null,null,null,null,null,12,6,4,2,7,7,21,8,4,2,4,0
Wood Buffalo National Park,1305,1025,1089,1226,1148,1008,914,975,2479,1599,1324,1790,3364,2604,3119,3340,4162,3904
Auyuittuq National Park,413,501,458,200,491,404,759,510,391,396,487,529,463,196,265,200,709,853
Quttinirpaaq National Park,192,175,262,149,117,110,138,215,2,252,15,23,5,23,17,21,33,32
Sirmilik National Park,null,52,608,608,230,109,254,123,17,21,20,47,100,60,237,84,494,508
Cape Spear Lighthouse National Historic Site,9728,16512,15308,15308,9057,6353,9514,9423,8551,10366,8657,6710,15742,18252,18861,29153,54663,81064
Castle Hill National Historic Site,15086,16059,16586,12320,12770,11318,10324,9492,10665,11480,11788,2144,3623,3464,9469,5878,13405,9020
Hawthorne Cottage National Historic Site,4629,4629,5773,4350,5013,4046,4147,4118,5869,4840,3314,2246,2518,2518,2851,3447,8580,0
L'Anse aux Meadows National Historic Site,27299,33370,33982,35897,29049,27378,27819,25513,27112,30113,28623,24248,21952,20796,23784,27982,37000,33289
Port au Choix National Historic Site,11470,13645,14063,10504,10541,9664,9230,7679,7727,8786,8223,9761,6906,7262,8485,9735,15696,15780
Red Bay National Historic Site,7961,9904,10414,9829,9246,8462,7971,7804,7662,8417,7007,6609,7700,6892,8002,10152,12028,10887
Ryan Premises National Historic Site,9365,8655,8457,8457,7111,7214,6895,7008,6037,6555,6645,5551,6067,5450,7639,8647,12670,9607
Signal Hill National Historic Site,8167,9296,8784,8784,6119,3852,6259,6869,6328,8267,8688,8461,8930,11621,10468,13348,25838,12738
Green Gables Heritage Place,181352,182218,149185,140070,134498,133011,139116,153457,148787,128806,127283,127286,127804,138667,160516,187662,254314,198893
Skmaqn Port-la-Joye Fort Amherst National Historic Site,4798,4832,6395,6421,0,0,0,4314,6937,4889,7103,0,0,0,0,0,0,0
Province House National Historic Site,97461,125320,87839,76224,75047,69940,59664,67140,88460,60666,64203,51751,46719,71641,0,0,0,0
Alexander Graham Bell National Historic Site,110061,117076,97530,90382,83252,76706,74175,74131,73959,67081,67485,65197,67066,64287,77745,82115,110635,86302
Canso Islands & Grassy Island Fort National Historic Sites,2001,1731,1833,1799,1980,2013,2551,2404,2331,2310,3042,2720,3207,2601,3845,4766,4165,5220
Fort Anne National Historic Site,48978,50255,41633,39285,36505,34772,33580,30522,30650,29393,28727,26045,22976,24887,28229,33501,52057,32667
Fort Edward National Historic Site,2197,1288,1780,2901,1971,790,1303,922,955,908,1279,1066,960,1149,1103,2086,1544,2607
Fortress of Louisbourg National Historic Site,120551,125046,115180,103105,103231,97225,97371,98456,88379,86687,80499,76124,103803,73423,83892,95344,139596,95825
Grand-Pr  National Historic Site,57657,59194,50913,71568,38705,34287,34287,30065,25466,26189,25234,24249,24993,27845,30977,34320,56448,35197
Halifax Citadel National Historic Site,416325,640596,629021,600261,608557,608557,608557,543335,587252,528851,472431,453795,453034,488408,495365,451499,583212,517723
Marconi National Historic Site,7482,8868,6479,5160,4819,3857,3534,3236,4865,2681,3663,3769,2189,1897,2561,3206,4516,2478
Port-Royal National Historic Site,45254,44567,41340,42918,37415,30591,29812,22805,22230,22796,21491,18334,17649,18822,19110,22972,34760,22840
Prince of Wales Tower National Historic Site,10598,10143,8537,7861,10410,7768,5880,6190,8086,7255,7295,8485,0,0,0,0,0,0
St. Peter's Canal National Historic Site,null,null,null,null,null,null,null,null,14354,11961,11592,14311,0,0,0,0,0,0
York Redoubt National Historic Site,52201,41318,40342,41793,42628,42628,42628,59993,60866,60866,80712,92248,53962,25368,25778,25206,24097,19974
Carleton Martello Tower National Historic Site,32739,25753,22982,13935,14487,9322,11626,13453,15727,13660,14122,14264,11084,12777,15251,9125,16956,8410
Fort Beaus jour - Fort Cumberland National Historic Site,25882,25390,22136,23718,24834,23484,23556,20909,14916,15304,15015,10526,7709,7287,8244,10182,16668,10053
Monument Lefebvre National Historic Site,4176,3272,2732,2369,3389,3379,3231,3722,2863,5784,8715,6704,7453,2523,4834,3742,3182,5951
St. Andrew's Blockhouse National Historic Site,26571,14495,12428,8542,13404,13300,5489,12000,12630,12807,18617,18810,15629,19564,20584,29386,35606,27951
Artillery Park Heritage Site,57849,51337,48036,52987,48556,49227,52471,49893,38440,39070,34294,35874,34413,55310,39769,67971,53922,45147
Battle of the Ch teauguay National Historic Site,8257,6395,5046,5136,5745,5134,4064,4645,3881,3874,3613,4363,5048,2304,1542,3024,4474,2418
Battle of Restigouche National Historic Site,15381,16538,14382,14466,14304,12947,11566,10944,10016,11974,10562,6885,5885,5360,6513,6959,12910,6949
Carillon Canal National Historic Site,36040,36607,35546,35568,32781,29354,31599,28202,29305,28266,27264,27191,23647,29323,25501,28895,31293,32384
Cartier-Br beuf National Historic Site,64683,54831,32964,39606,40771,35245,32188,22450,23521,56485,36320,13067,12454,15557,15109,15313,14987,12743
Chambly Canal National Historic Site,121428,115186,131323,146166,357119,290886,337054,298817,286473,216802,142983,229367,216525,276885,246319,253063,280196,246921
Coteau-du-Lac National Historic Site,19828,28087,20485,21160,17477,16196,17378,26615,23777,29131,27893,30709,14518,20237,21246,20908,18398,12837
Forges du Saint-Maurice National Historic Site,26531,21882,19869,18443,15928,13862,16205,14057,16269,14230,14398,10056,7635,7054,7168,8147,21060,8624
Fort Chambly National Historic Site,121847,147827,144672,127820,145193,115634,127001,137308,145127,144646,121799,126274,105647,116200,141197,145280,167876,150662
Fort Lennox National Historic Site,47410,43577,38558,43577,46879,47422,47530,41320,33830,34339,13773,28732,21878,26463,25008,24072,30259,0
Obadjiwan Fort T miscamingue National Historic Site,18030,10398,10025,9667,8877,7808,8577,7829,7703,7109,8551,7358,6980,5977,6962,6029,9018,6681
Fortifications of Qu bec National Historic Site,2540037,2627611,2406924,1908315,1588439,1249118,1444159,1637940,1529432,1207396,1131337,1551574,1527047,1686199,1968560,2153885,2234221,2037471
Grosse  le and the Irish Memorial National Historic Site,29137,29418,28764,28678,26292,24336,23819,20167,23411,22563,17721,17848,16486,16273,17019,19176,27319,19631
Lachine Canal National Historic Site,607832,750000,817839,828500,766971,871582,919458,903057,932462,767027,963005,972100,1144743,1083749,1121680,1134102,925688,1028272
L vis Forts National Historic Site,17906,21496,18684,20611,14309,17006,17981,22622,21166,10152,27609,14875,10177,14093,6207,16974,17100,10272
Louis S. St. Laurent National Historic Site,7888,7473,8549,6055,7629,7353,9021,8811,10410,11227,12995,8638,10757,7556,8280,9817,11648,8604
Manoir Papineau National Historic Site,13756,12724,15629,15495,14245,14428,12115,13844,16836,16715,17568,17919,16737,19937,19937,20016,26197,23878
Old Port of Quebec,39113,33643,27797,24099,21107,16266,null,null,null,null,null,null,null,null,null,null,null,null
Pointe-au-P re Lighthouse National Historic Site,40296,33058,33121,33666,27503,27841,26992,23650,20071,19686,19714,17804,17864,21420,23754,22414,30002,34257
Sainte-Anne-de-Bellevue Canal National Historic Site,176810,197560,181389,177114,200434,176820,147334,139974,130391,117177,118478,131850,117092,123851,149997,179212,177001,171974
