Location,Year,Latitude,Longitude,Month In,Day In,White Perch,American Eel,Gaspereau,Banded Killifish,Mummichog,4 Spine Stickleback,3 Spine Stickleback,Brook Trout,Brook Stickleback,9 Spine Stickleback,Rainbow Smelt,Rainbow Trout,New Longitude,Month as a Number
Lake of Shining Waters,2010,46.49363,-63.38778,August,10,0,0,0,0,0,1,0,0,0,0,0,0,-63.38778,8
Lake of Shining Waters,2010,46.49366,-63.38672,August,10,10,2,8,106,2,0,1,0,0,0,0,0,-63.38672,8
Lake of Shining Waters,2010,46.49366,-63.38672,August,10,0,0,0,14,0,2,0,0,0,0,0,0,-63.38672,8
Lake of Shining Waters,2010,46.4934,-63.38603,August,10,2,1,0,4,0,0,0,0,0,0,0,0,-63.38603,8
Lake of Shining Waters,2010,46.4934,-63.38603,August,10,0,0,0,7,0,0,0,0,0,0,0,0,-63.38603,8
Lake of Shining Waters,2010,46.49338,-63.38432,August,10,14,0,1,50,2,0,0,0,0,0,0,0,-63.38432,8
Lake of Shining Waters,2010,46.49338,-63.38432,August,10,0,0,0,3,0,5,0,0,0,0,0,0,-63.38432,8
Lake of Shining Waters,2010,46.49396,-63.38427,August,10,2,1,0,0,0,0,0,0,0,0,0,0,-63.38427,8
Lake of Shining Waters,2010,46.49396,-63.38427,August,10,0,0,0,0,0,2,0,0,0,0,0,0,-63.38427,8
Lake of Shining Waters,2010,46.49511,-63.38597,August,10,15,2,1,127,1,0,0,0,0,0,0,0,-63.38597,8
Lake of Shining Waters,2010,46.49511,-63.38597,August,10,0,0,0,2,0,0,0,0,0,0,0,0,-63.38597,8
Lake of Shining Waters,2010,46.49557,-63.38695,August,10,30,5,68,41,0,0,0,0,0,0,0,0,-63.38695,8
Lake of Shining Waters,2010,46.49557,-63.38695,August,10,0,0,0,0,0,0,0,0,0,0,0,0,-63.38695,8
Lake of Shining Waters,2010,46.49547,-63.38899,August,11,19,1,259,0,0,0,0,0,0,0,0,0,-63.38899,8
Lake of Shining Waters,2010,46.49547,-63.38899,August,11,0,0,0,0,0,2,0,0,0,0,0,0,-63.38899,8
Lake of Shining Waters,2010,46.49422,-63.38834,August,11,7,5,1,1,0,0,0,0,0,0,0,0,-63.38834,8
Lake of Shining Waters,2010,46.49422,-63.38834,August,11,0,0,0,0,0,19,0,0,0,0,0,0,-63.38834,8
Lake of Shining Waters,2010,46.49363,-63.38778,August,11,2,1,12,18,2,0,0,0,0,0,0,0,-63.38778,8
Lake of Shining Waters,2010,46.49363,-63.38778,August,11,2,0,0,8,0,0,0,0,0,0,0,0,-63.38778,8
Lake of Shining Waters,2010,46.49366,-63.38672,August,11,3,6,384,227,2,0,1,0,0,0,0,0,-63.38672,8
Lake of Shining Waters,2010,46.49366,-63.38672,August,11,0,0,0,37,0,6,0,0,0,0,0,0,-63.38672,8
