Protected_Heritage_Area,Field_Unit,Program,Agency,2019_Jan,2019_Feburary,2019_March,2019_April,2019_May,2019_June,2019_July,2019_August,2019_September,2019_October,2019_November,2019_December,2020_Jan,2020_Feburary,2020_March,2020_April,2020_May,2020_June,2020_July,2020_August,2020_September,2020_October,2020_November,2020_December,2021_Jan,2021_Feburary,2021_March,2021_April,2021_May,2021_June,2021_July,2021_August,2021_September,2021_October,2021_November,2021_December,2022_Jan,2022_Feburary,2022_March,2022_April,2022_May,2022_June,2022_July,2022_August,2022_September,2022_October,2022_November,2022_December,2023_Jan,2023_Feburary,2023_March,2023_April,2023_May,2023_June,2023_July,2023_August,2023_September,2023_October,2023_November,2023_December,,,,,,,,,
Banff,BANFF,National Park,Parks Canada Agency,"262,067","317,797",389145,688544,723828,472335,149681,"126,018","151,422",NULL,NULL,NULL,"199,069","210,041","43,115",CL,CL,"271,296",581202,638928,465503,"147,043","124,894","135,719","207,272","190,117","241,850","246,884","225,915",298464,653888,647908,504913,"157,134","125,101","140,679","210,293","216,405","243,961","278,486","321,116",361655,694127,685408,534378,"164,404","117,864","143,765","212,800","205,379","410,699","283,215","327,200",393564,718191,696030,534099,164677,"130,184","163,303",,,,,,,,,
Jasper,JASPER,National Park,Parks Canada Agency,"166,983","203,890",237922,468415,495704,319772,59940,"45,459","55,771",NULL,NULL,NULL,"61,417","60,155","287,991",CL,CL,"176,374",399058,442925,319606,"62,178","46,030","49,240","59,636","55,827","80,168","153,127","148,167",184746,450381,451704,342918,"72,048","52,587","51,074","61,088","64,859","75,498","168,283","196,776",221429,475292,473267,360803,"75,263","49,796","50,997","62,631","61,122","219,804","164,721","186,214",218148,475125,473305,357346,69264,"47,656","53,576",,,,,,,,,
Kootenay,KOOTENAY/YOHO/LAKE LOUISE,National Park,Parks Canada Agency,"40,161","52,039",63243,102970,107358,69495,7196,"5,060","6,190",NULL,NULL,NULL,"18,897","19,395","37,662",CL,CL,"42,363",79351,92294,65203,"7,558","5,516","5,186","19,821","18,561","23,448","48,390","43,816",49236,95657,98669,76295,"15,323","10,368","6,329","20,503","21,594","80,397","51,562","66,415",59833,100923,105342,79571,"16,140","9,790","6,065","21,015","20,146","37,324","48,389","54,754",64904,105827,101941,81026,10092,"6,064","6,772",,,,,,,,,
Yoho,KOOTENAY/YOHO/LAKE LOUISE,National Park,Parks Canada Agency,"38,471","48,004",58244,146316,154228,100376,6404,"5,297","6,401",NULL,NULL,NULL,"6,572","6,812","123,777",CL,CL,"40,618",120923,136056,98312,"6,386","5,260","5,758","6,863","6,455","9,243","36,348","32,550",43717,137864,138680,106259,"6,709","5,274","5,899","6,821","7,285","10,127","40,864","48,402",54478,146409,146694,112651,"7,023","4,957","6,024","7,053","6,827","82,496","41,199","49,172",58669,151846,147734,111917,7101,"5,469","6,742",,,,,,,,,
Mount Revelstoke and Glacier,MOUNT REVELSTOKE/GLACIER,National Park,Parks Canada Agency,"44,758","96,294",100973,168258,184450,104733,43409,"12,102","13,257",NULL,NULL,NULL,"11,038","9,796","12,445",CL,CL,"90,523",141993,173532,122310,"51,088","12,946","11,852","12,159","11,927","16,300","37,324","55,316",84865,166045,159939,112004,"44,631","10,148","12,721","13,451","13,936","16,166","43,897","81,673",102434,163389,166199,114470,"41,431","10,297","12,527","12,155","11,857","14,861","41,977","93,520",109380,161380,155285,97761,43606,"12,525","13,580",,,,,,,,,
Waterton Lakes,WATERTON LAKES,National Park,Parks Canada Agency,"15,446","36,043",76589,104998,103912,56100,18355,"11,002","7,598",NULL,NULL,NULL,"10,570","8,178","8,565",CL,CL,"61,559",113304,120428,64491,"25,121","9,646","12,718","15,252","11,099","16,887","20,287","42,417",80962,118170,108213,68616,"25,579","10,023","8,244","9,810","10,778","11,459","14,277","38,649",66670,113112,107776,68738,"26,331","6,655","7,309","9,127","7,766","9,432","16,588","47,384",74184,123577,115576,75196,23620,"9,440","10,168",,,,,,,,,
Gwaii Haanas Reserve and Haida Heritage Site,GWAII HAANAS,National Park,Parks Canada Agency,0,264,470,891,671,333,0,0,0,NULL,NULL,NULL,0,0,0,CL,CL,CL,,,,CL,CL,CL,CL,CL,CL,CL,CL,,193,452,107,CL,CL,CL,CL,CL,CL,CL,340,553,870,605,283,CL,CL,CL,CL,CL,CL,1,387,494,910,735,265,0,0,0,,,,,,,,,
Pacific Rim Reserve,COASTAL BRITISH COLUMBIA,National Park,Parks Canada Agency,"79,445","108,436",120945,146530,158742,119880,86976,"71,147","56,229",NULL,NULL,NULL,"54,489","61,288","49,673",CL,CL,"84,113",136212,161800,131897,"105,790","72,465","47,420","47,809","53,207","75,031","73,846","75,357",109231,169242,180011,128579,"104,252","76,215","57,202","67,562","68,983","82,165","89,748","108,777",119938,151855,160515,125386,"93,722","68,938","51,268","55,471","59,678","78,066","86,238","117,974",89244,144133,147111,121805,92785,"73,668","46,220",,,,,,,,,
Gulf Islands,COASTAL BRITISH COLUMBIA,National Park,Parks Canada Agency,CL,"2,697",5168,6916,7215,2792,,CL,CL,NULL,NULL,NULL,CL,CL,CL,CL,CL,138,5995,8272,4202,CL,CL,CL,CL,CL,CL,"2,542","2,734",4293,8356,8284,4511,CL,CL,CL,CL,CL,CL,"1,776","1,858",4541,8151,7715,4393,CL,CL,CL,CL,CL,CL,"1,875","2,403",4722,6741,7040,3918,,CL,CL,,,,,,,,,
Kluane National Park and Reserve,YUKON,National Park,Parks Canada Agency,CL,"1,656",7274,8408,8747,2645,225,0,0,NULL,NULL,NULL,0,100,0,CL,CL,CL,603,4562,1320,CL,CL,CL,CL,CL,CL,CL,820,2097,7977,8580,4457,"1,103",0,0,0,0,0,CL,"2,686",10294,14746,12784,5241,"1,250",CL,CL,CL,38,59,32,"3,216",11800,13686,14692,5170,1247,CL,CL,,,,,,,,,
Nahanni Reserve,SOUTHWEST NWT,National Park,Parks Canada Agency,0,0,70,305,352,43,0,0,0,NULL,NULL,NULL,0,0,0,CL,CL,5,105,99,22,0,0,0,0,0,0,CL,0,60,104,65,22,0,0,0,0,0,0,CL,CL,97,362,534,111,0,0,0,0,0,0,CL,CL,107,309,307,13,0,0,0,,,,,,,,,
Wood Buffalo,SOUTHWEST NWT,National Park,Parks Canada Agency,224,325,605,818,1125,307,282,79,28,NULL,NULL,NULL,22,110,16,CL,CL,125,1473,1297,550,270,120,195,171,111,169,292,"1,070",994,1190,383,118,CL,CL,CL,CL,CL,CL,22,279,465,530,474,268,167,24,66,14,34,56,254,275,377,432,88,5,9,9,6,,,,,,,,,
Nááts'ihch'oh,SOUTHWEST NWT,National Park,Parks Canada Agency,0,0,24,88,2,5,0,0,0,NULL,NULL,NULL,0,0,0,CL,CL,CL,8,6,,CL,CL,CL,CL,CL,CL,0,0,0,6,0,0,0,0,0,0,0,0,CL,CL,0,95,14,0,CL,CL,CL,CL,CL,CL,0,0,5,91,30,0,0,0,0,,,,,,,,,
Aulavik,WESTERN ARCTIC,National Park,Parks Canada Agency,0,0,7,8,0,0,0,0,0,NULL,NULL,NULL,0,0,0,CL,CL,CL,,,,CL,CL,CL,CL,CL,CL,0,0,0,0,0,0,0,0,0,0,0,0,CL,CL,,21,13,0,0,0,0,0,0,0,0,0,18,32,0,0,0,0,0,,,,,,,,,
Ivvavik,WESTERN ARCTIC,National Park,Parks Canada Agency,0,2,65,31,0,0,0,0,0,NULL,NULL,NULL,0,0,0,CL,CL,CL,,,,CL,CL,CL,CL,CL,CL,0,0,16,6,0,0,0,0,0,0,0,0,CL,CL,94,79,6,0,0,0,0,0,0,0,0,0,27,97,10,0,0,0,0,,,,,,,,,
Tuktut Nogait,WESTERN ARCTIC,National Park,Parks Canada Agency,0,0,0,12,2,0,0,0,0,NULL,NULL,NULL,0,0,0,CL,CL,CL,,,,CL,CL,CL,CL,CL,CL,CL,CL,,,,,CL,CL,CL,CL,CL,CL,CL,CL,,1,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,
Auyuittuq,NUNAVUT,National Park,Parks Canada Agency,68,1,2,76,178,24,3,0,0,NULL,NULL,NULL,4,0,0,CL,CL,CL,,,,CL,CL,CL,CL,CL,3,0,0,0,0,20,16,6,0,0,0,0,23,32,2,0,99,90,28,0,0,0,0,5,0,30,12,7,53,97,29,8,0,0,,,,,,,,,
Quttinirpaaq (Ellesmere Island),NUNAVUT,National Park,Parks Canada Agency,0,4,5,9,0,0,0,0,0,NULL,NULL,NULL,0,0,0,CL,CL,CL,,,,CL,CL,CL,CL,CL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,,,,,,,,,
Sirmilik,NUNAVUT,National Park,Parks Canada Agency,46,0,0,235,9,0,0,0,0,NULL,NULL,NULL,0,8,0,CL,CL,CL,,,,CL,CL,CL,CL,CL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,4,34,36,0,31,10,0,0,0,,,,,,,,,
